Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
000-050-681-184-461,b'Integrated Vehicle Thermal Management - Combining Fluid Loops in Electric Drive Vehicles',,2013,,,,,,J. P.' b'Rugh,"Plug-in hybrid electric vehicles and electric vehicles have increased vehicle thermal management complexity, using separate coolant loop for advanced power electronics and electric motors. Additional thermal components result in higher costs. Multiple cooling loops lead to reduced range due to increased weight. Energy is required to meet thermal requirements. This presentation for the 2013 Annual Merit Review discusses integrated vehicle thermal management by combining fluid loops in electric drive vehicles.",,,,,Thermal management of electronic devices and systems; Automotive engineering; Electric motor; Power electronics; Energy (signal processing); Range (aeronautics); Thermal; Electric drive; Computer science; Coolant,,,,,https://digital.library.unt.edu/ark:/67531/metadc828848/m1/4/,https://digital.library.unt.edu/ark:/67531/metadc828848/m1/4/,,,3155982901,,0,,0,false,,
000-072-636-955-893,Advanced Technology Vehicle Testing,2003-11-01,2003,,,,,,James Francfort,"The light-duty vehicle transportation sector in the United States depends heavily on imported petroleum as a transportation fuel. The Department of Energy’s Advanced Vehicle Testing Activity (AVTA) is testing advanced technology vehicles to help reduce this dependency, which would contribute to the economic stability and homeland security of the United States. These advanced technology test vehicles include internal combustion engine vehicles operating on 100% hydrogen (H2) and H2CNG (compressed natural gas) blended fuels, hybrid electric vehicles, neighborhood electric vehicles, urban electric vehicles, and electric ground support vehicles. The AVTA tests and evaluates these vehicles with closed track and dynamometer testing methods (baseline performance testing) and accelerated reliability testing methods (accumulating lifecycle vehicle miles and operational knowledge within 1 to 1.5 years), and in normal fleet environments. The Arizona Public Service Alternative Fuel Pilot Plant and H2-fueled vehicles are demonstrating the feasibility of using H2 as a transportation fuel. Hybrid, neighborhood, and urban electric test vehicles are demonstrating successful applications of electric drive vehicles in various fleet missions. The AVTA is also developing electric ground support equipment (GSE) test procedures, and GSE testing will start during the fall of 2003. All of these activities are intended to support U.S. energy independence. The Idaho National Engineering and Environmental Laboratory manages these activities for the AVTA.",,,,,Dynamometer; Ground; Automotive engineering; Electric vehicle; Energy independence; Compressed natural gas; Environmental science; Track (rail transport); Homeland security; Internal combustion engine,,,,,https://digital.library.unt.edu/ark:/67531/metadc885859/m2/1/high_res_d/910788.pdf https://digital.library.unt.edu/ark:/67531/metadc885859/,https://digital.library.unt.edu/ark:/67531/metadc885859/,,,3022592808,,0,,0,false,,
000-567-389-723-079,A STUDY ON ENERGY MANAGEMENT CONTROL STRATEGY FOR AN EXTENDED-RANGE ELECTRIC VEHICLE,2016-03-03,2016,conference proceedings article,Energy and Mechanical Engineering,,WORLD SCIENTIFIC,,Yong-Chen Jiang; Hui Zhou; Cheng Lin; Lei Wang,,,,159,169,Automotive engineering; Control (management); Electric vehicle; Range (particle radiation); Computer science; Energy management,,,,,https://www.worldscientific.com/doi/abs/10.1142/9789814749503_0019,http://dx.doi.org/10.1142/9789814749503_0019,,10.1142/9789814749503_0019,2326917915,,0,054-026-080-643-932; 070-700-871-122-414; 116-708-941-435-883; 138-191-419-825-511; 139-815-363-930-759,4,false,,
000-569-437-047-781,Study on the Promotion and Operation Mode of Household Electric Vehicle,,2014,journal article,Advanced Materials Research,16628985,"Trans Tech Publications, Ltd.",,Wei Qing Zhai; Zhi Min Zhao,"The electric vehicle is a newly powered walker alternative tool with good environmental benefits and low operating cost. The subsidy on the product innovation, environmental protection and energy saving is not issued in time because of policy lag, and therefore management measures can't keep pace with the times. This leads to the currently inefficient marketing of household electric vehicle, and its difficult operation situation in our country. This article begins with the promotion and operation mode of household electric vehicles, and puts forward some proposals for the popularization of household electric vehicle which can provide some reference for management department, the electric vehicle manufacturers, and the electric vehicle sales and service agencies.",1030-1032,,2121,2125,Environmental economics; Business; Electric vehicle; Operating cost; Pace; Operation mode; Simulation; Service (economics); Promotion (rank); Product innovation; Subsidy,,,,,https://www.scientific.net/AMR.1030-1032.2121,http://dx.doi.org/10.4028/www.scientific.net/amr.1030-1032.2121,,10.4028/www.scientific.net/amr.1030-1032.2121,2055293675,,0,,0,false,,
000-597-261-925-971,Research on the Electric Vehicle Control System,2015-08-31,2015,journal article,"International Journal of u- and e-Service, Science and Technology",20054246,NADIA,Australia,Haiying Wang; Tianjun Sun; Xingbo Zhou; Qi Fan,"With the development of electric vehicle electronic control unit (ECU) for vehicle control technology and the key to raise the level of design electric vehicles the optimization control of the vehicle performance as direction. In order to achieve the rational, coordination of vehicles within the system of integrated control, based on the modular thought, through constructing the distributed control network design overall structure of the control system of pure electric vehicle, the vehicle controller is analyzed on the working principle and its function realization degree, as a pure electric vehicle control system provides the theory basis for performance evaluation.",8,8,103,110,Automotive engineering; Control system; Electric vehicle; Computer science,Electric vehicles; Vehicle control system; Vehicle controller,,,,http://dx.doi.org/10.14257/ijunesst.2015.8.8.11,http://dx.doi.org/10.14257/ijunesst.2015.8.8.11,,10.14257/ijunesst.2015.8.8.11,2925401956,,0,102-105-753-868-867; 145-107-598-858-237; 166-921-390-799-432,8,true,,bronze
000-717-266-216-481,Vehicle sideslip angle estimation for a four-wheel-independent-drive electric vehicle based on a hybrid estimator and a moving polynomial Kalman smoother:,2018-04-24,2018,journal article,"Proceedings of the Institution of Mechanical Engineers, Part K: Journal of Multi-body Dynamics",14644193; 20413068,SAGE Publications,United Kingdom,Zhenpo Wang; Wu Jianyang; Lei Zhang; Yachao Wang,This paper presents a vehicle sideslip angle estimation scheme against noises and outliers in sensor measurements for a four-wheel-independent-drive electric vehicle. The proposed scheme combines a...,233,1,125,140,Estimator; Extended Kalman filter; Electric vehicle; Kalman smoother; Computer science; Control theory; Outlier; Polynomial,,,,Ministry of Science and Technology of the People's Republic of China,http://journals.sagepub.com/doi/10.1177/1464419318770923 https://journals.sagepub.com/doi/full/10.1177/1464419318770923 https://journals.sagepub.com/doi/pdf/10.1177/1464419318770923,http://dx.doi.org/10.1177/1464419318770923,,10.1177/1464419318770923,2799645240,,0,002-266-908-717-53X; 003-412-232-100-28X; 003-744-037-897-247; 006-700-396-697-321; 007-370-456-758-091; 008-612-546-538-434; 010-382-077-473-797; 014-360-520-300-849; 015-166-241-024-72X; 020-745-047-206-017; 022-437-444-546-953; 024-627-452-394-654; 025-703-068-893-844; 026-659-432-824-169; 032-695-767-824-73X; 038-109-328-532-421; 042-681-624-130-488; 046-993-416-481-206; 049-775-009-528-437; 056-509-359-972-011; 062-478-882-005-016; 064-124-179-858-919; 068-009-263-675-658; 081-934-291-883-453; 082-754-779-774-566; 087-554-704-440-671; 089-238-426-275-845; 089-541-874-015-619; 099-043-535-547-144; 099-748-197-287-959; 102-411-232-588-873; 105-802-201-915-138; 106-107-824-489-19X; 106-923-155-091-971; 110-459-038-028-664; 112-587-247-092-549; 123-552-522-768-46X; 124-590-623-337-347; 127-446-938-646-091; 132-776-960-326-45X; 149-495-265-071-009; 153-902-704-789-347; 156-829-156-475-064; 157-732-314-315-599; 169-110-881-572-742; 169-920-669-266-363; 173-673-044-922-825; 177-616-025-589-62X; 186-054-478-813-844,13,true,,bronze
000-737-795-159-994,Analysis on Charging Safety and Optimization of Electric Vehicles,2020-12-11,2020,conference proceedings article,2020 IEEE 6th International Conference on Computer and Communications (ICCC),,IEEE,,Jiang linru; Zhang Yuanxing; Li Taoyong; Diao Xiaohong; Zhang Jing,"Power grid side charging and equipment side charging for safety charging of electric vehicles are analyzed. Based on different charging modes, this paper aims to optimize the structure designing in safe charging mode. Facing the future, electric vehicles connect with the power grid, and charging safety which become the focus in this field. It analyzes the structure of charging equipment, and introduces the measures of safe charging in two aspects: power grid side charging safety and equipment side charging safety. The feasibility of improving the power quality of electric vehicle charging side is studied, and the optimal solution strategy of safety charging electric vehicle in power grid is put forward. According to the measurement information and battery using conditions, the internal temperature of the battery system can be effectively regulated by the heat management system so that the battery charging and discharging process can be carried out in a suitable temperature range. Avoiding battery safety hazard is caused by cumulative high and low temperature operations. The experiment results show that the increasing of charging load and the discordance of structure designing increase the operating pressure of power grid, but compare with fuel vehicles, which electric vehicles have energy saving and emission reduction to maximize the benefits. A comprehensive and systematic solution to the safety accident of electric vehicles are given, which can effectively control the charging safety of electric vehicle and eliminate the potential danger. It has guiding significance for the popularization of electric vehicle.",,,2382,2385,Automotive engineering; Energy (signal processing); Electric vehicle; Power quality; Power grid; Heat management; Hazard (computer architecture); Computer science; Battery (electricity); Process (computing),,,,,http://xplorestaging.ieee.org/ielx7/9344865/9344866/09344906.pdf?arnumber=9344906 http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=9344906,http://dx.doi.org/10.1109/iccc51575.2020.9344906,,10.1109/iccc51575.2020.9344906,3132961624,,1,016-135-928-191-414; 033-903-501-506-283; 063-291-338-725-534; 064-691-800-860-787; 074-313-220-714-753; 128-276-683-491-792,39,false,,
001-032-912-017-95X,Impacts of Electric Vehicle Charging On Distribution Grid,2019-12-31,2019,journal article,AIUB Journal of Science and Engineering (AJSE),25204890; 16083679,American International University - Bangladesh,,Nazmul Haque; Ahmed Mortuza Saleque,Electric Vehicle is one of the most emerging technology in modern era. Different type of latest technologies are used in today’s electric vehicles as well as the battery technology is also developed. Besides many advantages of electric vehicles there are some bad impacts of electric vehicles charging on electric grid. Analysis of Electric Vehicle charging impacts on distribution grid are highly importance for the development of electric vehicles. In this paper a very simplified model is used by MATLAB/Simulink to analyze the Electric vehicle charging impacts on distribution grid. In this model Vehicle to grid (V2G) technology is also used to analyze the grid power. The active power of distribution grid was measured while EVs were charging for both V2G on and off cases and the differences between this two conditions were measured from the simulation and the results were compared.  In this paper the impacts of EV charging on other grid connected loads are also analyzed.,18,3,88,96,AC power; Power (physics); Automotive engineering; Grid; Emerging technologies; Electric vehicle; Battery (vacuum tube); Vehicle-to-grid; MATLAB; Computer science,Power generating station; Electric vehicles charging station; Vehicles to Grid (V2G); MATLAB/Simulink model; Analysis grid power; Supplying power to the grid by V2G,,,,https://ajse.aiub.edu/index.php/ajse/article/download/57/47 http://45.64.132.67/index.php/ajse/article/view/57 https://ajse.aiub.edu/index.php/ajse/article/view/57,http://dx.doi.org/10.53799/ajse.v18i3.57,,10.53799/ajse.v18i3.57,2998808119,,0,023-243-057-711-112; 077-440-499-855-270; 087-081-160-648-193; 094-792-120-056-622,3,true,cc-by-nc-nd,hybrid
001-055-611-411-509,Integrating system dynamics and agent-based modeling: A data-driven framework for predicting electric vehicle market penetration and GHG emissions reduction under various incentives scenarios,,2024,journal article,Applied Energy,03062619; 18729118,Elsevier BV,United Kingdom,Weipeng Zhan; Zhenpo Wang; Junjun Deng; Peng Liu; Dingsong Cui,,372,,123749,123749,Market penetration; Incentive; System dynamics; Greenhouse gas; Environmental economics; Reduction (mathematics); Agent-based model; Electric vehicle; Penetration (warfare); Business; Industrial organization; Environmental science; Economics; Engineering; Computer science; Microeconomics; Operations research; Marketing; Artificial intelligence; Quantum mechanics; Power (physics); Physics; Geometry; Biology; Mathematics; Ecology,,,,Beijing Nova Program; Ministry of Science and Technology of the People's Republic of China; Beijing Municipal Science and Technology Commission; National Key Research and Development Program of China,,http://dx.doi.org/10.1016/j.apenergy.2024.123749,,10.1016/j.apenergy.2024.123749,,,0,001-223-745-168-794; 003-890-365-279-910; 004-928-253-638-787; 008-953-411-966-453; 010-796-170-148-403; 017-716-134-135-519; 018-185-070-700-019; 019-015-145-113-842; 019-728-540-299-691; 028-890-336-375-636; 032-921-446-978-888; 038-870-944-409-531; 042-599-004-114-177; 043-120-661-747-520; 045-797-006-787-144; 046-440-013-796-131; 050-983-447-260-591; 055-424-602-585-347; 058-623-659-552-395; 059-731-638-112-889; 061-047-733-999-773; 061-327-694-368-704; 062-322-942-759-944; 065-333-831-724-098; 065-622-525-769-491; 072-293-302-571-09X; 075-246-589-360-00X; 080-780-469-300-812; 092-340-212-204-944; 102-388-562-755-942; 104-025-046-525-761; 106-696-508-417-352; 111-188-419-773-523; 114-737-474-911-368; 116-505-307-609-479; 121-879-566-817-35X; 129-092-411-416-422; 139-161-545-512-988; 145-132-584-662-203; 145-200-445-420-433; 152-773-673-685-320; 155-083-117-647-13X; 167-631-677-627-890; 170-499-553-405-703; 180-157-358-132-503; 188-065-976-599-824; 193-351-945-722-170,35,false,,
001-213-117-451-039,DRIVING DYNAMICS OF AN ELECTRIC VEHICLE WITH ELECTRONIC DIFFERENTIAL ASSISTED DRIVE,2013-01-01,2013,journal article,Scientific Proceedings Faculty of Mechanical Engineering STU in Bratislava,13385011; 13381954,Walter de Gruyter GmbH,,Juraj Madarás; Martin Bugar; Ján Danko,"The electric motor's features allow a large scale of possible drivetrain conceptions for electric vehicles. One of the most efficient conceptions is an electric vehicle with two electric machines which operates as an electronic differential. The main objective of this paper is to discuss the possibilities for the simulation of the driving dynamics of an electric vehicle during cornering. To control the vehicle's motion, driving demands and electric motors (PMSM), it is most suitable to use co-simulation in a MATLAB/Simulink® environment. The ability to control the engines (PMSM) during direction changes is demonstrated in the simulation results.",21,1,12,18,Electronic differential; Control engineering; Automotive engineering; Electric vehicle; Differential (mathematics); Computer science; Dynamics (mechanics),electric vehicle; steering; simulation; differential,,,,https://www.degruyter.com/downloadpdf/j/stu.2013.21.issue-1/stu-2013-0003/stu-2013-0003.xml https://content.sciendo.com/view/journals/stu/21/1/article-p12.xml?language=en http://sciendo.com/article/10.2478/stu-2013-0003,http://dx.doi.org/10.2478/stu-2013-0003,,10.2478/stu-2013-0003,2002574449,,0,033-897-503-375-514; 111-980-899-876-415,0,true,cc-by-nc-nd,gold
